Folder,Target,Accuracy,Correct Predictions,Total Files
eighteen,eighteen,100.0,2000,2000
eleven,eleven,100.0,2000,2000
fifteen,fifteen,100.0,2000,2000
fourteen,fourteen,100.0,2000,2000
nineteen,nineteen,100.0,2000,2000
