Folder,Target,Accuracy,Correct Predictions,Total Files
eight,eight,72.06632653061224,1695,2352
five,five,82.56257955027577,1946,2357
four,four,0.0,0,2372
nine,nine,88.49407783417935,2092,2364
no,no,85.13684210526316,2022,2375
one,one,90.92827004219409,2155,2370
seven,seven,89.27219183845183,2122,2377
six,six,81.63782186576614,1934,2369
three,three,85.48387096774194,2014,2356
two,two,87.39991571849978,2074,2373
yes,yes,91.58603281447202,2177,2377
zero,zero,84.76430976430976,2014,2376
