Folder,Target,Accuracy,Correct Predictions,Total Files
seventeen,seventeen,100.0,2000,2000
sixteen,sixteen,100.0,2000,2000
ten,ten,99.85000000000001,1997,2000
thirteen,thirteen,100.0,2000,2000
twelve,twelve,100.0,2000,2000
twenty,twenty,100.0,2000,2000
